受理号,药品名称,注册申请人,承办日期,申请日期,公示日期,状态,拟定适应症（或功能主治）
JXSS2200040,仑卡奈单抗注射液,卫材（中国）药业有限公司,2022-12-22,2022-12-22,2023-02-17,已纳入,本品适用于治疗早期阿尔茨海默病（AD），即确认淀粉样蛋白病理的AD源性轻度认知功能障碍（MCI）和轻度AD痴呆。
JXHS2200111,玛巴洛沙韦干混悬剂,罗氏（中国）投资有限公司,2022-11-22,2022-11-24,2023-02-17,已纳入,"本品适用于儿童单纯性甲型和乙型流感患者，包括既往健康的患者以及存在流感并发症高风险
的患者。"
JXHS2200119,Maribavir片,武田（中国）国际贸易有限公司,2022-12-20,2022-11-11,2023-02-17,已纳入,Maribavir片（马立巴韦片）用于治疗移植后巨细胞病毒(CMV)感染/疾病，且使用过更昔洛韦、缬更昔洛韦、西多福韦或膦甲酸钠难治（伴或不伴基因型耐药）的成人患者。
CXHS2300006,舒沃替尼片,迪哲（江苏）医药股份有限公司,2023-01-10,2023-01-17,2023-02-08,已纳入,既往经含铂化疗治疗时或治疗后出现疾病进展，或不耐受含铂化疗，并且经检测确认存在表皮生长因子受体（EGFR）20号外显子插入突变的局部晚期或转移性非小细胞肺癌（NSCLC）的成人患者。
CYHS2300284,依托泊苷注射液,四川汇宇制药股份有限公司,2023-02-01,2023-01-04,2023-02-08,已纳入,小细胞肺癌、恶性淋巴瘤、急性白血病、睾丸肿瘤、膀胱癌、绒毛膜上皮癌、生殖细胞肿瘤。对神经母细胞瘤，横纹肌肉瘤，卵巢癌，非小细胞肺癌，胃癌和食管癌等有一定疗效。与其他抗肿瘤药物联合治疗儿童恶性实体瘤。肿瘤特异性T细胞输注疗法的预处理。
CYHS2300353,注射用环磷酰胺,四川汇宇制药股份有限公司,2023-02-04,2023-01-04,2023-01-31,已纳入,"白血病：急性或慢性淋巴细胞性和髓性白血病
恶性淋巴瘤：霍奇金淋巴瘤、非霍奇金淋巴瘤、浆细胞瘤
转移性和非转移性的恶性实体瘤：卵巢癌、乳腺癌、小细胞肺癌、成神经细胞瘤、Ewings肉瘤
进行性自身免疫性疾病：类风湿性关节炎、psoriatic关节病、系统性红斑狼疮、硬皮病、全身性脉管炎（例如伴有肾病综合征）、某些类型的肾小球肾炎（例如伴肾病综合征)、重症肌无力、自身免疫性溶血性贫血、冷凝集素病
器官移植时的免疫抑制治疗
对儿童横纹肌肉瘤及骨肉瘤有一定疗效"
CYHS2300354,注射用环磷酰胺,四川汇宇制药股份有限公司,2023-02-04,2023-01-04,2023-01-31,已纳入,"白血病：急性或慢性淋巴细胞性和髓性白血病
恶性淋巴瘤：霍奇金淋巴瘤、非霍奇金淋巴瘤、浆细胞瘤
转移性和非转移性的恶性实体瘤：卵巢癌、乳腺癌、小细胞肺癌、成神经细胞瘤、Ewings肉瘤
进行性自身免疫性疾病：类风湿性关节炎、psoriatic关节病、系统性红斑狼疮、硬皮病、全身性脉管炎（例如伴有肾病综合征）、某些类型的肾小球肾炎（例如伴肾病综合征)、重症肌无力、自身免疫性溶血性贫血、冷凝集素病
器官移植时的免疫抑制治疗
对儿童横纹肌肉瘤及骨肉瘤有一定疗效"
CXHS2300030,妥拉美替尼（HL-085）胶囊,上海科州药物研发有限公司,,2022-12-22,2023-01-29,已纳入,本品拟用于治疗既往接受过免疫治疗的NRAS突变的晚期黑色素瘤患者
CYHS2300002,甲氨蝶呤注射液,四川汇宇制药股份有限公司,2023-01-04,2022-11-18,2023-01-28,已纳入,"甲氨蝶呤具有广谱抗肿瘤活性，可单独使用或与其它化疗药物联合使用。
具体适应症如下：
1.抗肿瘤治疗，单独使用：乳腺癌、妊娠性绒毛膜癌、恶性葡萄胎或葡萄胎。
2.抗肿瘤治疗，联合使用：急性白血病(特别是急性淋巴细胞性白血病)、Burkitts 淋巴瘤、晚期淋巴肉瘤(III 和IV 期，据Peter 分期法)和晚期蕈样霉菌病。
3.鞘内注射：治疗脑膜转移癌。
4.大剂量治疗：大剂量甲氨蝶呤单独应用或与其它化疗药物联合应用治疗下列肿瘤：成骨肉瘤、急性白血病、支气管肺癌或头颈部表皮癌。大剂量甲氨蝶呤应用时，必须应用亚叶酸进行解救。亚叶酸是四氢叶酸酯的衍生物，可与甲氨蝶呤竞争进入细胞内。这种“亚叶酸解救”可在大剂量甲氨蝶呤应用时保护正常组织细胞免受损害。
5.银屑病化疗：甲氨蝶呤可用于治疗对常规疗法不敏感的严重、顽固、致残性银屑病。但因使用时有较大危险，应在经过活检和/或皮肤科医生会诊明确诊断后使用。"
JXSS2300002,注射用Vonicog alfa,武田（中国）国际贸易有限公司,2023-01-07,2023-01-13,2023-01-20,已纳入,本品适用于诊断为血管性血友病（VWD）的成人患者（年龄为18岁及以上）：按需治疗和出血事件的控制；围手术期出血管理。
JXSS2300001,注射用Vonicog alfa,武田（中国）国际贸易有限公司,2023-01-07,2023-01-13,2023-01-18,已纳入,"本品适用于诊断为血管性血友病（VWD）的成人患者（年龄为18岁及以上）：按需治疗和出血事件的控制；围手术期出血管理。
"
JXHS2300003,Parsaclisib片,信达生物制药（苏州）有限公司,2023-01-06,2023-01-09,2023-01-16,已纳入,本品适用于既往接受过至少两种系统性治疗的复发或难治性滤泡性淋巴瘤成人患者
JXHS2300004,Parsaclisib片,信达生物制药（苏州）有限公司,2023-01-06,2023-01-09,2023-01-16,已纳入,本品适用于既往接受过至少两种系统性治疗的复发或难治性滤泡性淋巴瘤成人患者
无,注射用利纳西普（暂定）,杭州中美华东制药有限公司,,2023-01-04,2023-01-16,已纳入,用于治疗成人和12岁及以上青少年冷吡啉相关周期性综合征（CAPS），包括家族性寒冷型自身炎症综合征（FCAS）、Muckle-Wells综合征（MWS）。
JXHS2300022,注射用舒巴坦钠/注射用度洛巴坦钠组合包装,再鼎医药（上海）有限公司,,2022-11-22,2023-01-13,已纳入,用于治疗成人鲍曼-醋酸钙不动杆菌复合体（包括多重耐药和碳青霉烯类耐药菌株）引起的感染。
CXSS2200094,西达基奥仑赛注射液,南京传奇生物科技有限公司,2022-12-30,2022-12-29,2023-01-12,已纳入,本品用于治疗既往接受过一种蛋白酶体抑制剂和一种免疫调节剂治疗后复发或难治性多发性骨髓瘤成人患者。
CXHS2300007,舒沃替尼片,迪哲（江苏）医药股份有限公司,,2022-11-19,2023-01-06,已纳入,既往经含铂化疗治疗时或治疗后出现疾病进展，或不耐受含铂化疗，并且经检测确认存在表皮生长因子受体（EGFR）20号外显子插入突变的局部晚期或转移性非小细胞肺癌（NSCLC）的成人患者。
JXSS2300014,Glofitamab (RO7082859),罗氏（中国）投资有限公司,,2022-12-27,2023-01-06,已纳入,本品适用于治疗既往接受过至少两线系统性治疗的复发或难治性弥漫大B细胞淋巴瘤和原发性纵隔大B细胞淋巴瘤成人患者。
JXHS2200109,布地奈德迟释胶囊,云顶新耀医药科技有限公司,2022-11-15,2022-10-22,2022-12-26,已纳入,NEFECON用于治疗具有进展风险的原发性免疫球蛋白肾病（IgA肾病）成人患者
CXSS2200093,赫基仑赛注射液（暂定）,合源生物科技（天津）有限公司,2022-12-13,2022-10-17,2022-12-14,已纳入,成人复发或难治性B细胞型急性淋巴细胞白血病
CXHS2200052,马来酸吡咯替尼片,江苏恒瑞医药股份有限公司,2022-10-09,2022-11-03,2022-11-15,已纳入,马来酸吡咯替尼片与曲妥珠单抗和多西他赛联合，用于治疗表皮生长因子受体2（HER2）阳性、晚期阶段未接受过抗HER2治疗的复发或转移性乳腺癌患者
CXHS2200053,马来酸吡咯替尼片,江苏恒瑞医药股份有限公司,2022-10-09,2022-11-03,2022-11-15,已纳入,马来酸吡咯替尼片与曲妥珠单抗和多西他赛联合，用于治疗表皮生长因子受体2（HER2）阳性、晚期阶段未接受过抗HER2治疗的复发或转移性乳腺癌患者
JXHS2300012,米托坦片,杰谛医药科技（上海）有限公司,2023-01-19,2022-10-31,2022-11-10,已纳入,晚期（不可切除、转移性或复发性）肾上腺皮质癌（ACC）的对症治疗
CXHS2200062,齐瑞索韦肠溶胶囊,上海爱科百发生物医药技术股份有限公司,,2022-10-28,2022-11-09,已纳入,本品适用于由呼吸道合胞病毒（RSV）引起的2岁及以下儿童呼吸道感染的治疗。
JXHS2200081,利特昔替尼胶囊,辉瑞投资有限公司,2022-09-10,2022-09-13,2022-11-09,已纳入,利特昔替尼用于适合接受系统性治疗的12岁及以上青少年和成人斑秃患者，包括全秃和普秃。
JXHS2200085,四盐酸曲恩汀薄膜衣片,诺思格（北京）医药科技股份有限公司,2022-09-21,2022-09-21,2022-11-09,已纳入,治疗不耐受D-青霉胺治疗的成人、青少年和≥5 岁儿童的Wilson 病。
JXHS2300002,Parsaclisib片,信达生物制药（苏州）有限公司,,2022-10-12,2022-10-25,已纳入,本品适用于既往接受过至少两种系统性治疗的复发或难治性滤泡性淋巴瘤成人患者
CXHS2300025,纳曲酮植入剂,深圳善康医药科技股份有限公司,,2022-10-12,2022-10-17,已纳入,用于阿片类物质依赖患者脱毒后的防复吸
CXSS2200087,阿基仑赛注射液,复星凯特生物科技有限公司,,2022-09-29,2022-10-14,已纳入,一线免疫化疗无效或在一线免疫化疗后12个月内复发的成人大B细胞淋巴瘤（r/r LBCL）。
CXSS2200084,泽沃基奥仑赛注射液,恺兴生命科技（上海）有限公司,2022-10-18,2022-09-23,2022-10-13,已纳入,本品适用于既往接受过至少一种免疫调节剂和蛋白酶体抑制剂治疗失败的复发或难治性多发性骨髓瘤成年患者。
JXHS2200086,盐酸哌甲酯口服缓释干混悬剂,祐儿医药科技（上海）有限公司,2022-09-21,2022-09-21,2022-09-26,已纳入,本品是一种中枢神经系统（CNS）兴奋剂，适用于治疗注意缺陷多动障碍（ADHD）
JXHS2200087,盐酸哌甲酯口服缓释干混悬剂,祐儿医药科技（上海）有限公司,2022-09-21,2022-09-21,2022-09-26,已纳入,本品是一种中枢神经系统（CNS）兴奋剂，适用于治疗注意缺陷多动障碍（ADHD）。
JXHS2200088,盐酸哌甲酯口服缓释干混悬剂,祐儿医药科技（上海）有限公司,2022-09-21,2022-09-21,2022-09-26,已纳入,本品是一种中枢神经系统（CNS）兴奋剂，适用于治疗注意缺陷多动障碍（ADHD）。
CXHS2200048,伯瑞替尼肠溶胶囊,北京浦润奥生物科技有限责任公司,2022-09-24,2022-09-14,2022-09-23,已纳入,具有间质-上皮转化因子（MET）外显子14跳变的局部晚期或转移性非小细胞肺癌成人患者
CXHS2200050,盐酸右美托咪定鼻喷雾剂,上海恒瑞医药有限公司,2022-10-08,2022-09-21,2022-09-23,已纳入,本品适用于儿童术前镇静（如儿童全身麻醉）
CXHS2200051,盐酸右美托咪定鼻喷雾剂,上海恒瑞医药有限公司,2022-10-08,2022-09-21,2022-09-23,已纳入,本品适用于儿童术前镇静（如儿童全身麻醉）
CXHS2200047,伯瑞替尼肠溶胶囊,北京浦润奥生物科技有限责任公司,2022-09-24,2022-09-06,2022-09-14,已纳入,具有间质-上皮转化因子（MET）外显子14跳变的局部晚期或转移性非小细胞肺癌成人患者
CXHS2200044,奥布替尼片,北京诺诚健华医药科技有限公司,2022-08-15,2022-08-15,2022-08-29,已纳入,既往至少接受过一种治疗的成人边缘区淋巴瘤（MZL）患者
CXSS2200077,舒格利单抗注射液,基石药业（苏州）有限公司,,2022-08-20,2022-08-29,已纳入,本品单药用于治疗复发或难治性结外NK/T细胞淋巴瘤（R/R ENKTL）
CYHS2201184,对乙酰氨基酚栓,浙江尔婴药品有限公司,2022-08-01,2022-08-05,2022-08-18,已纳入,"对轻度至中度疼痛和/或发热进行对症治疗。适用于体重 3 公斤以上的婴儿。
"
CYHS2201185,对乙酰氨基酚栓,浙江尔婴药品有限公司,2022-08-01,2022-08-05,2022-08-18,已纳入,对轻度至中度疼痛和/或发热进行对症治疗。
CYHS2200940,卡谷氨酸片,远大医药（中国）有限公司,2022-06-23,2022-05-30,2022-08-16,已纳入,N-乙酰谷氨酸合成酶缺乏所致高氨血症；异戊酸血症引起的高氨血症；甲基丙二酸血症引起的高氨血症；丙酸血症引起的高氨血症。
JXHS2200067,苯丁酸甘油酯口服液,浙江医学科技开发有限公司,2022-08-16,2022-08-04,2022-08-15,已纳入,"本品适用于不能通过限制蛋白质的摄入和/或单纯补充氨基酸控制的尿素循环障碍（UCDs）患者的长期治疗，包括氨甲酰磷酸合成酶I缺乏症（CPSID）、鸟氨酸氨甲酰基转移酶缺乏症（OTCD）、精氨酰琥珀酸合成酶缺乏症（ASSD）、精氨酰琥珀酸裂解酶缺乏症（ASLD）、精氨酸酶缺乏症（ARGID）和高鸟氨酸血症-高氨血症-同型瓜氨酸尿症综合征（HHHS）。
服用苯丁酸甘油酯时，必须限制饮食中的蛋白质，某些情况下还应添加膳食补充剂（例如必需氨基酸、精氨酸、瓜氨酸、非蛋白能量补充剂）。"
JXSS2200029,注射用艾夫糖苷酶α,赛诺菲（中国）投资有限公司,2022-07-29,2022-07-29,2022-08-15,已纳入,适用于庞贝病（酸性α葡萄糖苷酶[GAA]缺乏症）患者的长期酶替代治疗。
JXHS2200066,注射用双羟萘酸曲普瑞林,益普生（天津）医药商贸有限公司,,2022-06-23,2022-07-21,已纳入,"局部晚期和转移性前列腺癌
子宫内膜异位症（I至IV期）
中枢性性早熟（8岁前的女孩和10岁前的男孩）
"
JXHS2200058,盐酸哌甲酯缓释咀嚼片,祐儿医药科技（上海）有限公司,2022-07-11,2022-07-12,2022-07-19,已纳入,本品是一种中枢神经系统（CNS）兴奋剂，适用于治疗注意缺陷多动障碍（ADHD）
JXHS2200059,盐酸哌甲酯缓释咀嚼片,祐儿医药科技（上海）有限公司,2022-07-11,2022-07-12,2022-07-19,已纳入,本品是一种中枢神经系统（CNS）兴奋剂，适用于治疗注意缺陷多动障碍（ADHD）
JXHS2200060,盐酸哌甲酯缓释咀嚼片,祐儿医药科技（上海）有限公司,2022-07-11,2022-07-12,2022-07-19,已纳入,本品是一种中枢神经系统（CNS）兴奋剂，适用于治疗注意缺陷多动障碍（ADHD）
CXHS2200039,奥雷巴替尼片,广州顺健生物医药科技有限公司,2022-07-19,2022-07-01,2022-07-11,已纳入,用于治疗一代和二代酪氨酸激酶抑制剂（TKIs）耐药和/或不耐受的慢性髓细胞白血病（CML）慢性期（CP）患者。
JXSS2200031,Crovalimab注射液,罗氏（中国）投资有限公司,,2022-06-29,2022-07-11,已纳入,"Crovalimab适用于治疗目前未接受补体抑制剂治疗的成人和青少年（＞= 12岁）阵发性睡眠性血红蛋白尿
症患者。"
CXSS2200061,纳乐舒单抗注射液,上海津曼特生物科技有限公司,2022-06-22,2022-05-31,2022-07-08,已纳入,本品用于治疗不可切除或手术困难的骨巨细胞瘤。
JXSS2200024,安纳白介素注射液（预充式）,苏庇医药（上海）有限公司,2022-07-19,2022-06-29,2022-07-04,已纳入,本品适用于治疗成人、青少年、儿童和8 个月及以上婴幼儿（体重10kg 及以上）患者的自身炎症性周期性发热综合征（治疗家族性地中海热(FMF)) 。如适用应将本品与秋水仙碱联合使用。
JXSS2200020,注射用Susoctocog alfa,武田（中国）国际贸易有限公司,2022-06-16,2022-06-16,2022-06-29,已纳入,"本品为重组抗血友病因子（猪序列），是重组DNA衍生的抗血友病因子，适用于获得性血友病A成人患者按需治疗和出血事件的控制。
？	尚未确定本品在基线抗猪因子VIII抑制物滴度大于20 BU的患者中的安全性和疗效。
？	本品不适用于治疗先天性血友病A或血管性血友病"
CYHS2200644,布洛芬注射液,成都苑东生物制药股份有限公司,2022-04-29,2022-04-02,2022-06-17,已纳入,用于治疗胎龄小于 34 周的早产新生儿的有血流动力学意义的动脉导管未闭。
CYHS2200753,甲磺酸酚妥拉明注射液,成都欣捷高新技术开发股份有限公司,2022-05-24,2022-05-24,2022-06-16,已纳入,"控制嗜铬细胞瘤患者在手术治疗前和手术过程中的阵发性高血压。
如果无法进行其他特定试验或其他试验不足以给出明确诊断情况下，本品实验用于嗜铬细胞瘤的诊断性检查。
预防去甲肾上腺素外溢引起的皮肤坏死和腐烂。"
CXSS2200055,伊基仑赛注射液,南京驯鹿生物医药有限公司,2022-06-06,2022-05-23,2022-06-02,已纳入,既往接受三线或以上系统性治疗后复发或难治性多发性骨髓瘤成人患者
JXHS2200053,Selumetinib 胶囊,阿斯利康投资（中国）有限公司,2022-06-13,2022-05-17,2022-05-25,已纳入,"用于3岁及3岁以上伴有症状、无法手术的丛状神经纤维瘤(PN)的1型神经纤维瘤病(NF1)儿科患者的治疗。
"
JXHS2200054,Selumetinib 胶囊,阿斯利康投资（中国）有限公司,2022-06-13,2022-05-17,2022-05-25,已纳入,"用于3岁及3岁以上伴有症状、无法手术的丛状神经纤维瘤(PN)的1型神经纤维瘤病(NF1)儿科患者的治疗。
"
CYHS2201199,二氮嗪口服混悬液,宿州亿帆药业有限公司,,2022-05-03,2022-05-23,已纳入,"高胰岛素血症引起的低血糖症
"
CYHS2200098,甲硫酸新斯的明注射液,成都苑东生物制药股份有限公司,2022-01-17,2021-12-28,2022-05-12,已纳入,"（1）用于重症肌无力，因箭毒（筒箭毒碱）引起的呼吸抑制，术后或产后肠麻痹、胃肠功能障碍、排尿困难等；
（2）用于手术结束时拮抗非去极化肌肉松弛药的残留肌松作用。"
CYHS2200099,甲硫酸新斯的明注射液,成都苑东生物制药股份有限公司,2022-01-17,2021-12-28,2022-05-12,已纳入,"（1）用于重症肌无力，因箭毒（筒箭毒碱）引起的呼吸抑制，术后或产后肠麻痹、胃肠功能障碍、排尿困难等；
（2）用于手术结束时拮抗非去极化肌肉松弛药的残留肌松作用。"
CYHS2200679,地高辛注射液,成都倍特药业股份有限公司,2022-04-28,2022-04-15,2022-05-12,已纳入,"成人心衰
地高辛注射液适用于成人轻度到中度的心力衰竭，可增加左心室射血分数，改善心力衰竭症状，表现为运动能力改善，与心力衰竭有关的住院和急诊减少，而对死亡率没有影响。在可能的情况下，应与利尿剂和血管紧张素转换酶（ACE）抑制剂联合使用。
小儿心衰
可增加小儿心衰患者的心肌收缩力。
成人房颤
适用于控制成年慢性房颤患者的心室反应率。
"
CYHS2200435,氯巴占片,宜昌人福药业有限责任公司,2022-03-11,2022-03-11,2022-05-11,已纳入,适用于2 岁及以上Lennox-Gastaut 综合征（LGS）患者癫痫发作的联合治疗。
CYHS2200436,氯巴占片,宜昌人福药业有限责任公司,2022-03-11,2022-02-23,2022-05-11,已纳入,适用于2岁及以上Lennox-Gastaut综合征（LGS）患者癫痫发作的联合治疗。
CYHS2200502,硫代硫酸钠注射液,四川汇宇制药股份有限公司,2022-03-30,2022-04-08,2022-05-11,已纳入,本品主要用于氰化物中毒，也可用于砷、汞、铅、铋、碘等中毒。
CYHS2200503,硫代硫酸钠注射液,四川汇宇制药股份有限公司,2022-03-30,2022-03-11,2022-05-11,已纳入,本品主要用于氰化物中毒，也可用于砷、汞、铅、铋、碘等中毒
CYHS2200617,司替戊醇干混悬剂,石家庄四药有限公司,2022-04-21,2022-04-20,2022-05-11,已纳入,与氯巴占和丙戊酸盐联合使用，用于婴儿严重肌阵挛性癫痫（SMEI，Dravet综合征）患者癫痫发作时，氯巴占和丙戊酸盐无法充分控制的难治性全身强直阵挛发作的辅助治疗。
JXHS2101089,甲氨蝶呤注射液（预充式）,深圳市康哲生物科技有限公司,2021-12-09,2022-01-21,2022-05-11,已纳入,用于治疗对常规疗法不敏感的严重、顽固、致残性银屑病。
JXHS2101090,甲氨蝶呤注射液（预充式）,深圳市康哲生物科技有限公司,2021-12-09,2022-01-21,2022-05-11,已纳入,用于治疗对常规疗法不敏感的严重、顽固、致残性银屑病。
JXHS2101091,甲氨蝶呤注射液（预充式）,深圳市康哲生物科技有限公司,2021-12-09,2022-01-21,2022-05-11,已纳入,用于治疗对常规疗法不敏感的严重、顽固、致残性银屑病。
JXHS2101092,甲氨蝶呤注射液（预充式）,深圳市康哲生物科技有限公司,2021-12-09,2022-01-21,2022-05-11,已纳入,用于治疗对常规疗法不敏感的严重、顽固、致残性银屑病。
JXHS2101093,甲氨蝶呤注射液（预充式）,深圳市康哲生物科技有限公司,2021-12-09,2022-01-21,2022-05-11,已纳入,用于治疗对常规疗法不敏感的严重、顽固、致残性银屑病。
JXHS2101094,甲氨蝶呤注射液（预充式）,深圳市康哲生物科技有限公司,2021-12-09,2022-01-21,2022-05-11,已纳入,用于治疗对常规疗法不敏感的严重、顽固、致残性银屑病。
JXHS2101095,甲氨蝶呤注射液（预充式）,深圳市康哲生物科技有限公司,2021-12-09,2022-01-21,2022-05-11,已纳入,用于治疗对常规疗法不敏感的严重、顽固、致残性银屑病。
JXHS2200032,卡谷氨酸分散片,锐康迪（北京）医药有限公司,2022-03-29,2022-03-30,2022-05-11,已纳入,本品用于治疗成人及儿童患者由N-乙酰谷氨酸合成酶(NAGS)原发性缺乏症引起的高氨血症，由异戊酸血症(IVA)引起的高氨血症，由甲基丙二酸血症(MMA)引起的高氨血症，由丙酸血症(PA)引起的高氨血症。
CYHS2102035,注射用阿糖胞苷,国药一心制药有限公司,2021-11-16,2022-04-19,2022-04-24,已纳入,主要适用于成人和儿童急性非淋巴细胞性白血病的诱导缓解和维持治疗
JXSS2200011,注射用Trastuzumab Deruxtecan,第一三共（中国）投资有限公司,2022-03-21,2022-04-12,2022-04-24,已纳入,注射用Trastuzumab Deruxtecan单药适用于治疗既往接受过一种或一种以上抗HER2药物治疗的不可切除或转移性HER2阳性成人乳腺癌患者。
CXSS2200036,带状疱疹减毒活疫苗,长春百克生物科技股份公司,2022-04-07,2022-03-28,2022-04-07,已纳入,预防带状疱疹。
CXSS2200019,瑞基奥仑赛注射液,上海药明巨诺生物科技有限公司,2022-03-02,2022-03-02,2022-03-24,已纳入,"已批准适应症为：经过二线或以上系统性治疗后成人患者的复发或难治性大B细胞淋巴瘤，包括弥漫性大B细胞淋巴瘤非特指型、滤泡性淋巴瘤转化的弥漫性大B细胞淋巴瘤、3b级滤泡性淋巴瘤、原发纵隔大B细胞淋巴瘤、高级别B细胞淋巴瘤伴MYC和BCL-2和/或BCL-6重排（双打击/三打击淋巴瘤）。
此次申请新增加适应症为：经过二线或以上系统性治疗的成人复发或难治性滤泡淋巴瘤，包括组织学分级为1、2、3a级的滤泡性淋巴瘤。
"
JXHS2200016,蔗糖氢氧化氧铁咀嚼片,杭州泰格医药科技股份有限公司,2022-01-18,2022-01-20,2022-03-24,已纳入,"高磷血症。用于接受血液透析（HD）或腹膜透析（PD）的成人慢性肾脏病（CKD）患者高磷血症的治
疗。用于12岁及以上CKD 4-5期（定义为肾小球滤过率&lt;30 mL/min/1.73 m2）或接受透析的CKD儿科
患者高磷血症的治疗。"
CYHS2102034,注射用阿糖胞苷,国药一心制药有限公司,2021-11-16,2021-11-08,2022-03-17,已纳入,主要适用于成人和儿童急性非淋巴细胞性白血病的诱导缓解和维持治疗
CYHS2200618,司替戊醇干混悬剂,石家庄四药有限公司,,2022-01-10,2022-03-17,已纳入,与氯巴占和丙戊酸盐联合使用，用于婴儿严重肌阵挛性癫痫（SMEI，Dravet综合征）患者癫痫发作时，氯巴占和丙戊酸盐无法充分控制的难治性全身强直阵挛发作的辅助治疗。
CXSS2200021,四价流感病毒裂解疫苗,上海生物制品研究所有限责任公司,2022-03-01,2022-03-03,2022-03-17,已纳入,接种本疫苗后，可刺激抗体产生抗流行性感冒病毒的免疫力。用于预防疫苗相关型别的流感病毒引起的流行性感冒
JXHS2200040,吡仑帕奈口服混悬液,卫材（中国）药业有限公司,,2022-02-21,2022-03-17,已纳入,吡仑帕奈口服混悬液适用于成人和4岁及以上儿童癫痫部分性发作（伴有或不伴有继发全面性发作）的治疗。
JXHS2101074,恩格列净片,勃林格殷格翰（中国）投资有限公司,2021-11-17,2021-11-17,2022-03-02,已纳入,"心力衰竭(10mg)
本品适用于降低心力衰竭成人患者的心血管死亡和因心力衰竭住院的风险。获益与左心室射血分数无关，在射血分数降低、中间值或保留的成人中均获益明显。

"
JXSS2101030,司柏索利单抗注射液,勃林格殷格翰（中国）投资有限公司,2021-11-18,2022-01-04,2022-03-01,已纳入,用于治疗成人泛发性脓疱型银屑病发作。
CXHS2200010,谷美替尼片,上海海和药物研究开发股份有限公司,2022-02-25,2022-01-24,2022-02-17,已纳入,具有MET14外显子跳变的局部晚期或转移性非小细胞肺癌
CXSS2200020,四价流感病毒裂解疫苗,上海生物制品研究所有限责任公司,,2022-01-20,2022-01-28,已纳入,接种本疫苗后，可刺激抗体产生抗流行性感冒病毒的免疫力。用于预防疫苗相关型别的流感病毒引起的流行性感冒
CXSS2200011,四价流感病毒裂解疫苗,深圳赛诺菲巴斯德生物制品有限公司,,2021-12-29,2022-01-10,已纳入,本品用于流行性感冒的预防。适用于6~35月龄人群主动免疫，尤其推荐易发生流感相关并发症的人群。
JXHS2200015,马昔巴特口服液,北海康成（苏州）生物制药有限公司,,2021-12-22,2022-01-10,已纳入,1岁及以上Alagille综合征 (阿拉杰里综合征) 患者胆汁淤积性瘙痒
JXHS2101088,甲氨蝶呤注射液（预充式）,深圳市康哲生物科技有限公司,,2021-11-15,2021-12-23,已纳入,用于治疗对常规疗法不敏感的严重、顽固、致残性银屑病。
